name,price,review_count,rating,rounded_rating,content_rating,primary_genre,platform,rating-2,rounded_rating,review_count-2,price-2,content_rating-2,genre,platform-2,app_life,net_income
Talking Tom Bubble Shooter,$0.00 ,2659,4.5,4.5,4+,Games,ios,4.4,4.5,687136,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
Temple Run,$0.00 ,1724546,4.5,4.5,9+,Games,ios,4.3,4.5,4000433,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Temple Run 2,$0.00 ,295211,4.5,4.5,9+,Games,ios,4.3,4.5,8118609,$0.00 ,Everyone,Action,google,10," $470,000.00 "
The CW,$0.00 ,97368,4.5,4.5,12+,Entertainment,ios,4.4,4.5,288150,$0.00 ,Teen,Entertainment,google,10," $470,000.00 "
The Game of Life,$2.99 ,2298,4.5,,4+,Games,ios,4.4,,18621,$2.99 ,Everyone,Board,google,,
The Sims™ FreePlay,$0.00 ,446880,4.5,4.5,12+,Games,ios,4.3,4.5,931595,$0.00 ,Teen,Simulation,google,10," $470,000.00 "
The Washington Post Classic,$0.00 ,18572,4.5,4.5,12+,News,ios,4.5,4.5,23158,$0.00 ,Everyone 10+,News & Magazines,google,10," $470,000.00 "
Threema,$2.99 ,196,4.5,,4+,Social Networking,ios,4.5,,51110,$2.99 ,Everyone,Communication,google,,
Toca Builders,$2.99 ,5102,4.5,,4+,Education,ios,4.2,,3328,$3.99 ,Everyone,Education;Creativity,google,,
Toca Kitchen 2,$2.99 ,1858,4.5,,4+,Education,ios,4.5,,1014822,$0.00 ,Everyone,Educational;Pretend Play,google,,
Toca Life: City,$2.99 ,3571,4.5,,4+,Education,ios,4.7,,31085,$3.99 ,Everyone,Education;Pretend Play,google,,
Tomb of the Mask,$0.00 ,8054,4.5,4.5,9+,Games,ios,4.1,4,55380,$0.00 ,Everyone,Action,google,9.5," $446,000.00 "
Township,$0.00 ,80801,4.5,4.5,4+,Games,ios,4.6,4.5,4451317,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
Toy Blast,$0.00 ,75822,4.5,4.5,4+,Games,ios,4.7,4.5,1889250,$0.00 ,Everyone,Puzzle,google,10," $470,000.00 "
Traffic Racer,$0.00 ,22458,4.5,4.5,4+,Games,ios,4.5,4.5,5387639,$0.00 ,Everyone,Racing,google,10," $470,000.00 "
Trello,$0.00 ,2793,4.5,4.5,4+,Productivity,ios,4.5,4.5,72513,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
Trivia Crack,$0.00 ,393469,4.5,4.5,4+,Games,ios,4.5,4.5,6427773,$0.00 ,Everyone,Trivia,google,10," $470,000.00 "
Tsuro - The Game of the Path,$2.99 ,539,4.5,,4+,Games,ios,4.7,,2195,$2.99 ,Everyone,Board;Brain Games,google,,
Verizon Cloud,$0.00 ,6482,4.5,4.5,4+,Productivity,ios,4.3,4.5,185632,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
Vikings: an Archer's Journey,$2.99 ,94,4.5,,9+,Games,ios,4.5,,10256,$0.00 ,Everyone,Action,google,,
War Robots,$0.00 ,97122,4.5,4.5,12+,Games,ios,4.6,4.5,3073251,$0.00 ,Everyone 10+,Action,google,10," $470,000.00 "
WeChat,$0.00 ,34584,4.5,4.5,12+,Social Networking,ios,4.2,4,5387333,$0.00 ,Everyone,Communication,google,9.5," $446,000.00 "
WGT Golf Game by Topgolf,$0.00 ,53285,4.5,4.5,17+,Games,ios,4.3,4.5,148083,$0.00 ,Everyone,Sports,google,10," $470,000.00 "
WhatsApp Messenger,$0.00 ,287589,4.5,4.5,4+,Social Networking,ios,4.4,4.5,69119316,$0.00 ,Everyone,Communication,google,10," $470,000.00 "
Where's My Water?,$1.99 ,131656,4.5,,4+,Games,ios,4.7,,188740,$1.99 ,Everyone,Puzzle;Brain Games,google,,
Wish - Shopping Made Fun,$0.00 ,141960,4.5,4.5,12+,Shopping,ios,4.5,4.5,6210998,$0.00 ,Everyone,Shopping,google,10," $470,000.00 "
Wishbone - Compare Anything,$0.00 ,20649,4.5,4.5,12+,Social Networking,ios,4.3,4.5,51569,$0.00 ,Teen,Social,google,10," $470,000.00 "
Xbox,$0.00 ,72187,4.5,4.5,12+,Entertainment,ios,4.3,4.5,556659,$0.00 ,Everyone,Entertainment,google,10," $470,000.00 "
Yahoo Weather,$0.00 ,112603,4.5,4.5,4+,Weather,ios,4.4,4.5,1312037,$0.00 ,Everyone,Weather,google,10," $470,000.00 "
YouTube Kids,$0.00 ,28560,4.5,4.5,4+,Entertainment,ios,4.5,4.5,470089,$0.00 ,Everyone,Entertainment;Music & Video,google,10," $470,000.00 "
Zombie Catchers,$0.00 ,16805,4.5,4.5,12+,Games,ios,4.7,4.5,990491,$0.00 ,Everyone,Action,google,10," $470,000.00 "
Zombie Tsunami,$0.00 ,31311,4.5,4.5,4+,Games,ios,4.4,4.5,4920817,$0.00 ,Everyone 10+,Arcade,google,10," $470,000.00 "
ADP Mobile Solutions,$0.00 ,8324,4,4,4+,Business,ios,4.3,4.5,85185,$0.00 ,Everyone,Business,google,9.5," $446,000.00 "
